tempat,tarikhMula,tarikhTamat,Tahun,Negeri
Sg. Baru,8/11,8/11,2003,Selangor
Sg. Klang,25/1,25/1,16/7,2/10
Sg. Klang,8/3,8/3,16/7,2/10
Sg. Klang,13/3,13/3,16/7,2/10
Sg. Klang,8/4,8/4,16/7,2/10
Sg. Klang,19/4,19/4,16/7,2/10
Sg. Klang,7/5,7/5,16/7,2/10
Sg. Langat,13/4,13/4,25/6,17/11
Sg. Lui/ Sg. Paya Lebar,12/11,13/11,2003,Selangor
Sg. Lui/ Sg. Paya Lebar,16/11,16/11,2003,Selangor
Sg. Labu,8/4,8/4,24/6,16/7
Sg. Klang,25/1,25/1,2003,KualaLumpur
Sg. Klang,8/3,8/3,2003,KualaLumpur
Sg. Klang,13/3,13/3,2003,KualaLumpur
Sg. Klang,8/4,8/4,2003,KualaLumpur
Sg. Klang,19/4,19/4,2003,KualaLumpur
Sg. Klang,7/5,7/5,2003,KualaLumpur
Sg. Klang,10/6,10/6,2003,KualaLumpur
Sg. Klang,16/7,16/7,2003,KualaLumpur
Sg. Klang,21/7,21/7,2003,KualaLumpur
Sg. Klang,2/10,2/10,2003,KualaLumpur
Sg. Klang,14/11,17/11,2003,KualaLumpur
Sg. Klang,8/12,8/12,2003,KualaLumpur
Sg. Gombak,10/6,10/6,2003,KualaLumpur
Sg. Kerayong,10/6,10/6,2003,KualaLumpur
Sg. Kerayong,21/6,21/6,2003,KualaLumpur
Sg. Kerayong,17/11,17/11,2003,KualaLumpur
Sg. Batu,10/6,10/6,2003,KualaLumpur
Sg. Bunus,10/6,10/6,2003,KualaLumpur
Sg. Bunus,21/7,21/7,2003,KualaLumpur
Sg. Bunus,14/8,14/8,2003,KualaLumpur
Sg. Sarang Buaya,8/12,9/12,2003,Johor
Sg. Jemaluang,8/12,9/12,2003,Johor
Sg. Jemaluang / Sg. Paya Dato,8/12,9/12,2003,Johor
Sg. Mersing,8/12,9/12,2003,Johor
Sg. Derhaka / Pt. Tahan,8/12,9/12,2003,Johor
Sg. Endau / Sg. Padang,8/12,9/12,2003,Johor
Sg. Endau / Pt. Besar Semanyir,8/12,9/12,2003,Johor
Sg. Tekedai,8/12,9/12,2003,Johor
Sg. Triang Kecil,8/12,9/12,2003,Johor
Sg. Endau / Sg. Semaloi,8/12,9/12,2003,Johor
Sg. Rompin / Sg. Keratong,23/1,1/2,2003,Pahang
Sg. Pahang,13/1,22/1,2003,Pahang
Sg. Pahang / Sg. Semantan,30/6,1/7,2003,Pahang
Sg. Pahang / Sg. Semantan,1/6,1/6,2003,Pahang
Sg. Pahang / Sg. Semantan,1/7,1/7,2003,Pahang
Sg. Kuantan / Sg. Kenau / Sg. Pinang,9/12,9/12,2003,Pahang
Sg. Kuantan / Sg. Belat,9/12,10/12,2003,Pahang
Sg. Kuantan / Sg. Galing Kechil / Sg. Pandan,9/12,9/12,2003,Pahang
Sg. Kuantan / Sg. Galing Kechil / Sg. Pandan,13/12,13/12,2003,Pahang
Sg. Kuantan / Sg. Panching / Sg. Riau,9/12,11/12,2003,Pahang
Sg. Kuantan / Sg. Isap / Sg. Belat / Parit Jawa / Sg. Pandan / Sg. Tiram / Sg. Galing Besar,9/12,13/12,2003,Pahang
Sg. Kemasik,29/11,2/12,2003,Terengganu
Sg. Ibok,29/11,2/12,2003,Terengganu
Sg. Pinang,30/11,2/12,2003,Terengganu
Sg. Tebak,1/12,2/12,2003,Terengganu
Sg. Kertih,29/11,2/12,2003,Terengganu
Sg. Dungun,29/11,2/12,2003,Terengganu
Sg. Mercang,29/11,2/12,2003,Terengganu
Sungai Marang,1/12,2/12,2003,Terengganu
Sungai Rinting / Sg. Kijing,29/11,2/12,2003,Terengganu
Sg. Ibai,2/12,2/12,2003,Terengganu
Sungai Nerus,2/12,2/12,2003,Terengganu
Sungai Tererngganu,9/12,13/12,2003,Terengganu
Sungai Telemong,9/12,13/12,2003,Terengganu
Sungai Menerong,9/12,13/12,2003,Terengganu
Sg. Setiu,9/12,13/12,2003,Terengganu
Sg. Penarik,9/12,13/12,2003,Terengganu
Sg. Besut,12/12,12/12,2003,Terengganu
Sg. Jerteh,9/12,10/12,2003,Terengganu
Sg. Pergau,8/12,10/12,2003,Terengganu
Sg.Tadus,8/12,10/12,2003,Terengganu
Sg. Sat,9/12,16/12,2003,Terengganu
Sg. Bagan,9/12,16/12,2003,Terengganu
Sg. Kual,9/12,16/12,2003,Terengganu
Sg. Kemubu,9/12,16/12,2003,Terengganu
Sg. Kelantan,9/12,15/12,2003,Terengganu
Sg.Galas,9/12,15/12,2003,Terengganu
Sg. Geh,9/12,15/12,2003,Terengganu
Sg. Kerukut,9/12,15/12,2003,Terengganu
Sg. Nal,9/12,15/12,2003,Terengganu
Sg. KeNo.r Mati,9/12,15/12,2003,Terengganu
Sg. KeNo.r,9/12,15/12,2003,Terengganu
Sg. Enggong,9/12,15/12,2003,Terengganu
Sg. Stong Kecil,9/12,15/12,2003,Terengganu
Sg. Krai / Sg.Tebing,9/12,15/12,2003,Terengganu
Sg. Pas,9/12,15/12,2003,Terengganu
Sg. Durian,9/12,15/12,2003,Terengganu
Sg. Lanas,8/12,10/12,2003,Terengganu
Sg. Buloh,8/12,10/12,2003,Terengganu
Sg. Golok,10/12,16/12,2003,Terengganu
Sg. Tabanak,22/12,22/12,2003,Sabah
Sg. Tabanak,29/12,29/12,2003,Sabah
Sg. Sepagaya,29/12,29/12,2003,Sabah
Sg. Panchuran,29/12,29/12,2003,Sabah
Sg. Kinabatangan,6/12/03/1/04,6/12/03/1/04,2003,Sabah
Sg. Kebatasan,21/12,22/12,2003,Sabah
Sg. Taka,21/12,22/12,2003,Sabah
Sg. Tandek,21/12,22/12,2003,Sabah
Sg. Rasak Darat,21/12,22/12,2003,Sabah
Sg. Bongon,21/12,22/12,2003,Sabah
Sg. Bandau,21/12,22/12,2003,Sabah
Sg. Baribawa,10/9,10/9,2003,Sabah
Sg. Padas,9/10,11/10,2003,Sabah
Sg. Sarawak,23/1,26/1,2003,Sarawak
Sg. Sarawak,3/2,8/2,2003,Sarawak
Sg. Sarawak,2/4,2/4,2003,Sarawak
Sg. Sarawak,2/5,2/5,2003,Sarawak
Sg. Kereh,7/11,9/11,2004,PulauPinang
Sg. Jarak,7/11,9/11,2004,PulauPinang
Sg. Kulim,24/9,27/9,2004,PulauPinang
Sg. Kulim,1/11,1/11,2004,PulauPinang
Sg. Kilang Ubi,21/4,21/4,2004,PulauPinang
Sg. Juru,16/11,16/11,2004,PulauPinang
Sg. Machang Bubok,25/4,25/4,2004,PulauPinang
Sg. Bukit Teh,25/4,25/4,2004,PulauPinang
Sg. Tasek Junjong,24/9,24/9,2004,PulauPinang
Sg. Pinang,26/7,27/7,2004,PulauPinang
Sg. Kerian,29/6,30/6,2004,Perak
Sg. Kerian,16/7,16/7,2004,Perak
Sg. Kerian,29/10,29/10,2004,Perak
Sg. Ijok / Sg. Dendang,25/11,26/11,2004,Perak
Sg. Kurau / Sg. Ara,30/9,30/9,2004,Perak
Sg. Jebong,28/9,30/9,2004,Perak
Sg. Batu,16/11,18/11,2004,Perak
Prt. Saliran Ladang,16/11,18/11,2004,Perak
Sg. Pundut,7/12,8/12,2004,Perak
Sg. Air Tawar,12/12,13/12,2004,Perak
Sg. Perak / Sg. Kayan,28/10,30/10,2004,Perak
Sg. Lenggong,6/2,6/2,2004,Perak
Sg. Lenggong,13/10,13/10,2004,Perak
Sg. Lenggong,22/10,22/10,2004,Perak
Sg. Lenggong,13/11,13/11,2004,Perak
Sg. Nerok,6/2,6/2,2004,Perak
Sg. Nerok,28/9,29/9,2004,Perak
Sg. Nerok,13/10,13/10,2004,Perak
Sg. Nerok,22/10,22/10,2004,Perak
Sg. Nerok,13/11,13/11,2004,Perak
Sg. Pelus,28/9,28/9,2004,Perak
Sg. Kopisan,5/4,5/4,2004,Perak
Sg. Pinji,5/10,5/10,2004,Perak
Sg. Pinji,15/10,15/10,2004,Perak
Alur Bukit Chante,10/11,10/11,2004,Perak
Sg. Rapat,15/10,15/10,2004,Perak
Sg. Rapat,25/11,25/11,2004,Perak
Sg. Pari,9/11,9/11,2004,Perak
Sg. Resam,23/12,23/12,2004,Perak
Sg. Bernam,7/11,7/11,2004,Selangor
Sg. Kuang / Sg. Rawang,7/9,7/9,2004,Selangor
Sg. Kuang / Sg. Rawang,20/10,20/10,2004,Selangor
Sg. Kuang / Sg. Rawang,5/11,5/11,2004,Selangor
Sg. Kelawai,27/9,27/9,2004,Selangor
Sg. Buloh,22/2,22/2,2004,Selangor
Sg. Buloh,16/7,16/7,2004,Selangor
Sg. Buloh,5/11,5/11,2004,Selangor
Sg. Pelumut,5/3,5/3,2004,Selangor
Sg. Binjai,13/11,14/11,2004,Selangor
Sg. Kuyoh,5/1,5/1,2004,Selangor
Sg. Kuyoh,2/4,2/4,2004,Selangor
Sg. Kuyoh,5/4,5/4,2004,Selangor
Sg. Kuyoh,21/10,21/10,2004,Selangor
Sg. Kuyoh,5/11,5/11,2004,Selangor
Sg. Damansara,20/1,20/1,2004,Selangor
Sg. Damansara,2/4,2/4,2004,Selangor
Sg. Damansara,5/4,5/4,2004,Selangor
Sg. Damansara,28/5,28/5,2004,Selangor
Sg. Damansara,29/9,29/9,2004,Selangor
Sg. Damansara,5/11,5/11,2004,Selangor
Sg. Damansara,12/11,12/11,2004,Selangor
Sg. Damansara,15/11,15/11,2004,Selangor
Sg. Hitam,5/11,5/11,2004,Selangor
Sg. Klang,2/4,2/4,2004,Selangor
Sg. Klang,15/7,15/7,2004,Selangor
Sg. Klang,17/7,17/7,2004,Selangor
Sg. Klang,5/11,5/11,2004,Selangor
Sg. Klang,24/11,24/11,2004,Selangor
Sg. Labu,20/2,20/2,2004,Selangor
Sg. Labu,2/11,2/11,2004,Selangor
Sg. Labu,5/11,7/11,2004,Selangor
Sg. Langat,2/4,2/4,2004,Selangor
Sg. Langat,21/10,21/10,2004,Selangor
Sg. Langat,5/11,5/11,2004,Selangor
Sg. Langat,12/11,12/11,2004,Selangor
Sg. Lui,5/11,5/11,2004,Selangor
Sg. Klang,2/4,2/4,2004,KualaLumpur
Sg. Klang,27/5,27/5,2004,KualaLumpur
Sg. Klang,15/7,15/7,2004,KualaLumpur
Sg. Klang,17/7,17/7,2004,KualaLumpur
Sg. Klang,5/11,5/11,2004,KualaLumpur
Sg. Klang,24/11,24/11,2004,KualaLumpur
Sg. Kerayong,8/2,8/2,2004,KualaLumpur
Sg. Gombak,16/7,16/7,2004,KualaLumpur
Sg. Batu,16/7,16/7,2004,KualaLumpur
Sg. Linggi,17/7,18/7,2004,NegeriSembilan
Sg. Ibor,17/7,17/7,2004,NegeriSembilan
Sg. Pedas,17/7,17/7,2004,NegeriSembilan
Sg. Rembau,17/7,18/7,2004,NegeriSembilan
Sg. Melekek,11/7,12/7,2004,Melaka
Sg. Durian Daun,20/7,20/7,2004,Melaka
Sg. Merlimau,16/7,16/7,2004,Melaka
Sg. Kesang,20/7,20/7,2004,Melaka
Sg. Kesang,30/9,30/9,2004,Melaka
Sg. Kesang,3/11,3/11,2004,Melaka
Sg. Gadek,3/11,3/11,2004,Melaka
Sg. Kundur,17/7,17/7,2004,Johor
Sg. Rompin,6/2,6/2,2004,Pahang
Sg. Bentong,13/1,13/1,2004,Pahang
Sg. Bentong,9/11,9/11,2004,Pahang
Sg. Pahang,8/12,11/12,2004,Pahang
Sg. Tekai,9/11,9/11,2004,Pahang
Sg. Kuantan,8/12,11/12,2004,Pahang
Sg. Puyu,29/11,29/11,2004,Terengganu
Sg. Rasau,29/11,29/11,2004,Terengganu
Sg.Tualang,29/11,29/11,2004,Terengganu
Sg.Telipot,29/11,29/11,2004,Terengganu
Sg. Abal,29/11,29/11,2004,Terengganu
Sg. Alor Tok Darasat,29/11,29/11,2004,Terengganu
Sg. Danan,29/11,29/11,2004,Terengganu
Sg. Gali,29/11,29/11,2004,Terengganu
Sg. Telipot,29/11,29/11,2004,Terengganu
Sg. Lubuk Batu,29/11,29/11,2004,Terengganu
Sg. Panchor Ara,29/11,29/11,2004,Terengganu
Sg. Seligi,29/11,29/11,2004,Terengganu
Sg. Kusial,8/12,12/12,2004,Terengganu
Sg. Kelantan,29/1,30/1,2004,Terengganu
Sg. Kelantan,8/12,16/12,2004,Terengganu
Sg. Paku,8/12,12/12,2004,Terengganu
Sg. Galas,29/1,30/1,2004,Terengganu
Sg. Geh,29/1,30/1,2004,Terengganu
Sg. Kerukut,29/1,30/1,2004,Terengganu
Sg. Nal,29/1,30/1,2004,Terengganu
Sg. Nal,10/12,15/12,2004,Terengganu
Sg. KeNo.r Mati,29/1,30/1,2004,Terengganu
Sg. KeNo.r,29/1,30/1,2004,Terengganu
Sg. KeNo.r,10/12,15/12,2004,Terengganu
Sg. Enggong,29/1,30/1,2004,Terengganu
Sg. Stong Kecil,29/1,30/1,2004,Terengganu
Sg. Krai,29/1,30/1,2004,Terengganu
Sg. Krai,10/12,15/12,2004,Terengganu
Sg. Tebing,29/1,30/1,2004,Terengganu
Sg. Tebing,10/12,15/12,2004,Terengganu
Sg. Pas,29/1,30/1,2004,Terengganu
Sg. Tasin,29/1,30/1,2004,Terengganu
Sg. Durian,29/1,30/1,2004,Terengganu
Sg. Durian,10/12,15/12,2004,Terengganu
Sg. Pergau,10/12,11/12,2004,Terengganu
Sg. Taduh,10/12,11/12,2004,Terengganu
Sg. Balah,10/12,11/12,2004,Terengganu
Sg. Keroh,10/12,15/12,2004,Terengganu
Sg. Pahi,10/12,15/12,2004,Terengganu
Sg. Pertang,10/12,15/12,2004,Terengganu
Sg. Sok,10/12,15/12,2004,Terengganu
Sg. Sam,10/12,15/12,2004,Terengganu
Sg. Peria,10/12,15/12,2004,Terengganu
Sg. Gatal,10/12,15/12,2004,Terengganu
Sg. Sat,10/12,15/12,2004,Terengganu
Sg. Kemubu,10/12,15/12,2004,Terengganu
Sg. Bagan,10/12,15/12,2004,Terengganu
Sg. Kinabutan Kecil,1/5,1/5,2004,Sabah
Sg. Kinabutan Kecil,25/8,25/8,2004,Sabah
Sg. Tawau,25/8,25/8,2004,Sabah
Sg. Kinabatangan,15/12/04/1/05,15/12/04/1/05,2004,Sabah
Sg. Tandek,25/1,25/1,2004,Sabah
Sg. Bongon,25/1,25/1,2004,Sabah
Sg. Bandau,25/1,25/1,2004,Sabah
Sg. Bintasan,25/1,25/1,2004,Sabah
Sg. Mengaris,25/1,25/1,2004,Sabah
Sg. Tiku,5/1,5/1,2004,Sabah
Sg. Tiku,25/8,25/8,2004,Sabah
Sg. Perlis,17/12,25/12,2005,Perlis
Sg. Arau,17/12,24/12,2005,Perlis
Sg. Pdg. Terap,18/12,22/12,2005,Kedah
Sg. Tg. Pauh,18/12,22/12,2005,Kedah
Sg. Alor Madi,18/12,22/12,2005,Kedah
Sg. Kubang Rotan,18/12,22/12,2005,Kedah
Sg. Baru,18/12,22/12,2005,Kedah
Sg. Pdg. Sanai,19/12,19/12,2005,Kedah
Sg. Ketil,16/10,16/10,2005,Kedah
Sg. Langkawi,17/12,17/12,2005,Kedah
Sg. Kulim,15/9,18/9,2005,PulauPinang
Sg. Machang Bubok,15/7,15/7,2005,PulauPinang
Sg. Pinang,3/11,3/11,2005,PulauPinang
Sg. Jelutong,3/11,3/11,2005,PulauPinang
Sg. Teras,28/2,28/2,2005,Perak
Sg. Jarum Mas,30/11,30/11,2005,Perak
Sg. Perak,1/1,10/1,2005,Perak
Sg. Perak,15/7,19/7,2005,Perak
Sg. Perak,19/10,20/10,2005,Perak
Sg. Perak,11/12,31/12,2005,Perak
Sg. Jelawat / Sg. Bidor,19/10,20/10,2005,Perak
Sg. Bidor / Sg. Sungkai,19/10,20/10,2005,Perak
Sg. Chikus /,Sg.-Sg.,Sg.-Sg.,Manik,/
Sg. Kelawai,27/9,27/9,2005,Selangor
Sg. Kuang/ Sg. Rawang,26/3,26/3,2005,Selangor
Sg. Kuang/ Sg. Rawang,18/8,18/8,2005,Selangor
Sg. Paya Jaras / Sg. Buloh,27/2,27/2,2005,Selangor
Sg. Paya Jaras / Sg. Buloh,24/4,24/4,2005,Selangor
Sg. Paya Jaras / Sg. Buloh,13/10,13/10,2005,Selangor
Sg. Damansara,27/2,27/2,2005,Selangor
Sg. Damansara,26/10,26/10,2005,Selangor
Sg. Klang,10/1,10/1,2005,Selangor
Sg. Klang,28/3,28/3,2005,Selangor
Sg. Klang,15/7,15/7,2005,Selangor
Sg. Klang,15/10,15/10,2005,Selangor
Sg. Klang,20/10,20/10,2005,Selangor
Sg. Klang,22/10,22/10,2005,Selangor
Sg. Klang,10/11,10/11,2005,Selangor
Sg. Klang,30/11,30/11,2005,Selangor
Sg. Klang,25/12,25/12,2005,Selangor
Sg. Klang,29/12,29/12,2005,Selangor
Sg. Klang / Sg. Kapar Besar,4/11,4/11,2005,Selangor
Sg. Labu,27/2,27/2,2005,Selangor
Sg. Labu,3/4,3/4,2005,Selangor
Sg. Sompo,4/4,4/4,2005,Selangor
Sg. Langat / Sg. Lui,24/5,24/5,2005,Selangor
Sg. Langat / Sg. Lui,13/10,13/10,2005,Selangor
Sg. Langat / Sg. Lui,12/12,12/12,2005,Selangor
Sg. Klang,10/1,10/1,2005,KualaLumpur
Sg. Klang,28/3,28/3,2005,KualaLumpur
Sg. Klang,15/7,15/7,2005,KualaLumpur
Sg. Klang,15/10,15/10,2005,KualaLumpur
Sg. Klang,20/10,20/10,2005,KualaLumpur
Sg. Klang,22/10,22/10,2005,KualaLumpur
Sg. Klang,10/11,10/11,2005,KualaLumpur
Sg. Klang,30/11,30/11,2005,KualaLumpur
Sg. Klang,25/12,25/12,2005,KualaLumpur
Sg. Klang,29/12,29/12,2005,KualaLumpur
Sg. Kerayong,22/4,22/4,2005,KualaLumpur
Sg. Keroh,13/10,13/10,2005,KualaLumpur
Sg. Batu,30/12,30/12,2005,KualaLumpur
Sg. Linggi,3/4,3/4,2005,NegeriSembilan
Sg. Kesang,31/5,31/5,2005,Melaka
Sg. Jempol,4/4,4/4,2005,Johor
Sg. Ghalib,4/4,4/4,2005,Johor
Sg. Anak Air Kayu Ara,19/11,19/11,2005,Johor
Sg. Pah,3/4,3/4,2005,Pahang
Sg. Klawang,3/4,4/4,2005,Pahang
Sg. Durian,12/8,12/8,2005,Terengganu
Sg. Durian,22/11,23/11,2005,Terengganu
Sg. Geh,17/12,19/12,2005,Terengganu
Sg. Kelantan,9/12,16/12,2005,Terengganu
Sg. Kelantan,17/12,29/12,2005,Terengganu
Sg. Sam,22/11,24/11,2005,Terengganu
Sg. Kusial,21/11/1/06,21/11/1/06,2005,Terengganu
Sg. Maka,21/11/1/06,21/11/1/06,2005,Terengganu
Sg. Kepat,21/11/1/06,21/11/1/06,2005,Terengganu
Sg. Jegor,21/11/1/06,21/11/1/06,2005,Terengganu
Sg. Kepat,21/11/1/06,21/11/1/06,2005,Terengganu
Sg. Pergau,21/11/1/06,21/11/1/06,2005,Terengganu
Sg. Taduh,22/12,23/12,2005,Terengganu
Sg. Balah,22/12,23/12,2005,Terengganu
Sg. Kerak,23/11,24/11,2005,Terengganu
Sg. Baka,23/11,24/11,2005,Terengganu
Sg. Kemubu,8/12,11/12,2005,Terengganu
Sg. Kemubu,17/12,18/12,2005,Terengganu
Sg. Bagan,8/12,11/12,2005,Terengganu
Sg. Bagan,17/12,18/12,2005,Terengganu
Sg. Golok,17/12,29/12,2005,Terengganu
Sg. Kajang,21/11/1/06,21/11/1/06,2005,Terengganu
Sg. Tanah Merah,21/11/1/06,21/11/1/06,2005,Terengganu
Sg. Jedok,21/11/1/06,21/11/1/06,2005,Terengganu
Sg. Asahan,21/11/1/06,21/11/1/06,2005,Terengganu
Sg. Kelisar,21/11/1/06,21/11/1/06,2005,Terengganu
Sg. Air Batu,21/11/1/06,21/11/1/06,2005,Terengganu
Sg. Sendok,21/11/1/06,21/11/1/06,2005,Terengganu
Sg. Lanas,21/11/1/06,21/11/1/06,2005,Terengganu
Sg. Buluh,21/11/1/06,21/11/1/06,2005,Terengganu
Sg. Kinabatangan,21/12/04/1/05,21/12/04/1/05,2005,Sabah
Sg. Telipok,17/7,17/7,2005,Sabah
Sg. Buluh,21/10,22/10,2006,Perlis
Sg. Alor Mentalun,21/10,22/10,2006,Perlis
Sg. Arau,21/10,22/10,2006,Perlis
Sg. Kedah,20/10,27/10,2006,Kedah
Sg. Pdg. Terap,20/10,27/10,2006,Kedah
Sg. Tg. Pauh,20/10,27/10,2006,Kedah
Sg. Alor Madi,20/10,27/10,2006,Kedah
Sg. Kubang Rotan,20/10,27/10,2006,Kedah
Sg. Pendang,20/10,23/10,2006,Kedah
Sg. Bata,20/10,23/10,2006,Kedah
Sg. Pering,20/10,23/10,2006,Kedah
Sg. Kupang,20/10,20/10,2006,Kedah
Sg. Kupang,8/11,8/11,2006,Kedah
Sg. Ketil,20/10,20/10,2006,Kedah
Sg. Ketil,8/11,8/11,2006,Kedah
Sg. Tebuan,20/10,20/10,2006,Kedah
Sg. Ijok,16/11,16/11,2006,Perak
Sg. Segar,16/11,16/11,2006,Perak
Sg. Kerian,23/10,23/10,2006,Perak
Sg. Beriah,23/10,26/10,2006,Perak
Sg. Beriah,11/11,11/11,2006,Perak
Sg. Beriah,13/11,22/11,2006,Perak
Sg. Beriah,11/12,11/12,2006,Perak
Sg. Beriah,27/12,27/12,2006,Perak
Sg. Bukit Gantang,25/10,25/10,2006,Perak
Sg. Bukit Gantang,16/11,17/11,2006,Perak
Sg. Kurau / Sg. Ara,25/10,27/10,2006,Perak
Sg. Kurau / Sg. Ara,16/11,16/11,2006,Perak
Sg. Relong,6/11,6/11,2006,Perak
Sg. Jebong,25/10,26/10,2006,Perak
Sg. Lumut Kiri / Pt. Hj. Dollah / Sg. Sempit / Pt. Pasir Panjang,26/2,3/3,2006,Perak
Sg. Sempit,30/9,4/10,2006,Perak
Sg. Dendang,16/11,16/11,2006,Perak
Sg. Rotan,1/12,1/12,2006,Perak
Sg. Kepayang,21/3,21/3,2006,Perak
Sg. Pelus,20/4,20/4,2006,Perak
Sg. Pelus,4/9,4/9,2006,Perak
Sg. Kangsar,24/10,24/10,2006,Perak
Sg. Kangsar,29/11,30/11,2006,Perak
Sg. Biong,24/10,24/10,2006,Perak
Sg. Jeliang,24/10,24/10,2006,Perak
Sg. Chempias,29/11,30/11,2006,Perak
Sg. Nerok,8/4,8/4,2006,Perak
Sg. Nerok,26/4,26/4,2006,Perak
Sg. Nerok,20/5,20/5,2006,Perak
Sg. Nerok,30/7,30/7,2006,Perak
Sg. Temelong,19/4,19/4,2006,Perak
Sg. Lenggong,20/5,20/5,2006,Perak
Sg. Nerok / Sg. Lenggong,21/9,21/9,2006,Perak
Sg. Kenering,9/11,9/11,2006,Perak
Sg. Kenderong/ Sg. Hangai / Sg. Air Tawar,15/11,15/11,2006,Perak
Sg. Temelong / Sg. Lenggong,30/11,30/11,2006,Perak
Sg. Pari,20/4,20/4,2006,Perak
Sg. Pari,13/5,13/5,2006,Perak
Sg. Pari,24/10,24/10,2006,Perak
Sg. Chemor,20/4,20/4,2006,Perak
Sg. Jernih,4/5,4/5,2006,Perak
Sg. Rapat,15/5,15/5,2006,Perak
Sg. Kati,20/10,20/10,2006,Perak
Sg. Chepor,24/10,24/10,2006,Perak
Sg. Kinta,24/10,24/10,2006,Perak
Sg. Batu,25/11,28/11,2006,Perak
Sg. Resam,26/11,26/11,2006,Perak
Sg. Pinji,12/12,12/12,2006,Perak
Sg. Chenderiang,9/7,9/7,2006,Perak
Sg. Menderang,25/10,25/10,2006,Perak
Sg. Bikam,25/10,25/10,2006,Perak
Sg. Julur,25/10,25/10,2006,Perak
Sg. Sungkai,25/10,25/10,2006,Perak
Sg. Klah,25/10,25/10,2006,Perak
Sg. Klah,15/11,15/11,2006,Perak
Sg. Perak / Sg. Bidor,31/3,31/3,2006,Perak
Sg. Perak / Sg. Bidor,27/4,27/4,2006,Perak
Sg. Perak / Sg. Bidor,5/11,5/11,2006,Perak
Sg. Slim,23/10,23/10,2006,Selangor
Sg. Bernam,23/10,23/10,2006,Selangor
Sg. Tenang,4/1,4/1,2006,Selangor
Sg. Kuang,4/5,4/5,2006,Selangor
Sg. Kubu,25/8,25/8,2006,Selangor
Sg. Liam,13/12,13/12,2006,Selangor
Sg. Buloh,6/1,6/1,2006,Selangor
Sg. Buloh,18/5,18/5,2006,Selangor
Sg. Buloh,2/11,2/11,2006,Selangor
Sg. Batu,19/3,19/3,2006,Selangor
Sg. Batu,10/5,10/5,2006,Selangor
Sg. Gombak,1/11,1/11,2006,Selangor
Sg. Pusu,26/3,26/3,2006,Selangor
Sg. Pusu,30/10,30/10,2006,Selangor
Sg. Klang,12/2,12/2,2006,Selangor
Sg. Klang,16/2,16/2,2006,Selangor
Sg. Klang,29/3,29/3,2006,Selangor
Sg. Klang,8/4,9/4,2006,Selangor
Sg. Klang,14/4,14/4,2006,Selangor
Sg. Klang,20/4,20/4,2006,Selangor
Sg. Klang,22/5,22/5,2006,Selangor
Sg. Klang,26/5,26/5,2006,Selangor
Sg. Klang,23/6,23/6,2006,Selangor
Sg. Klang,9/9,9/9,2006,Selangor
Sg. Klang,21/10,21/10,2006,Selangor
Sg. Klang,25/10,25/10,2006,Selangor
Sg. Klang,28/10,28/10,2006,Selangor
Sg. Klang,11/11,11/11,2006,Selangor
Sg. Klang / Sg. Kapar Besar,11/11,11/11,2006,Selangor
Sg. Keruh,10/5,10/5,2006,Selangor
Sg. Damansara,1/1,1/1,2006,Selangor
Sg. Damansara,6/1,6/1,2006,Selangor
Sg. Damansara,23/1,23/1,2006,Selangor
Sg. Damansara,15/2,15/2,2006,Selangor
Sg. Damansara,26/2,26/2,2006,Selangor
